,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount,
17,18,984.3,...,24.6,...,67,0.6,172,...,...,0.0,...,...,...,...,...,...,2019-01-05 17:00:00
18,19,984.7,...,23.5,...,71,0.5,193,...,...,0.0,...,...,...,...,...,...,2019-01-05 18:00:00
19,20,985.1,...,22.6,...,76,0.3,125,...,...,0.0,...,...,...,...,...,...,2019-01-05 19:00:00
20,21,985.7,...,21.9,...,81,1.3,182,...,...,0.0,...,...,...,...,...,...,2019-01-05 20:00:00
21,22,986.0,...,21.3,...,85,0.3,196,...,...,0.0,...,...,...,...,...,...,2019-01-05 21:00:00
22,23,985.8,...,21.0,...,87,0.8,175,...,...,0.0,...,...,...,...,...,...,2019-01-05 22:00:00
23,24,985.9,...,20.3,...,91,0.3,73,...,...,0.0,...,...,...,...,...,...,2019-01-05 23:00:00
0,1,985.8,...,19.7,...,92,0.3,324,...,...,0.0,...,...,...,...,...,...,2019-01-06 00:00:00
1,2,985.2,...,19.6,...,93,0.6,340,...,...,0.0,...,...,...,...,...,...,2019-01-06 01:00:00
2,3,984.6,...,19.4,...,94,0.3,49,...,...,0.0,...,...,...,...,...,...,2019-01-06 02:00:00
3,4,984.3,...,19.4,...,96,1.4,192,...,...,0.0,...,...,...,...,...,...,2019-01-06 03:00:00
4,5,984.5,...,19.4,...,96,1.1,199,...,...,0.0,...,...,...,...,...,...,2019-01-06 04:00:00
5,6,984.9,...,18.9,...,97,1.1,192,...,...,0.0,...,...,...,...,...,...,2019-01-06 05:00:00
6,7,985.4,...,19.1,...,96,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-06 06:00:00
7,8,986.1,...,19.8,...,93,0.5,225,...,...,0.0,...,...,...,...,...,...,2019-01-06 07:00:00
8,9,986.2,...,19.8,...,97,0.0,0,...,...,2.0,...,...,...,...,...,...,2019-01-06 08:00:00
9,10,986.2,...,19.5,...,93,2.9,200,...,...,0.0,...,...,...,...,...,...,2019-01-06 09:00:00
10,11,985.4,...,19.4,...,93,4.9,201,...,...,0.0,...,...,...,...,...,...,2019-01-06 10:00:00
11,12,984.3,...,19.9,...,90,3.7,206,...,...,0.0,...,...,...,...,...,...,2019-01-06 11:00:00
12,13,983.3,...,21.7,...,82,3.3,176,...,...,0.0,...,...,...,...,...,...,2019-01-06 12:00:00
13,14,983.0,...,23.9,...,71,2.8,195,...,...,0.0,...,...,...,...,...,...,2019-01-06 13:00:00
14,15,982.8,...,24.0,...,69,2.3,192,...,...,0.0,...,...,...,...,...,...,2019-01-06 14:00:00
15,16,983.1,...,23.2,...,72,1.9,206,...,...,0.0,...,...,...,...,...,...,2019-01-06 15:00:00
16,17,983.6,...,22.2,...,74,1.7,205,...,...,0.0,...,...,...,...,...,...,2019-01-06 16:00:00
17,18,984.1,...,21.1,...,78,1.5,180,...,...,0.0,...,...,...,...,...,...,2019-01-06 17:00:00
18,19,984.9,...,20.4,...,80,1.7,192,...,...,0.0,...,...,...,...,...,...,2019-01-06 18:00:00
19,20,985.4,...,19.7,...,84,0.4,151,...,...,0.0,...,...,...,...,...,...,2019-01-06 19:00:00
20,21,985.7,...,19.1,...,88,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-06 20:00:00
21,22,985.7,...,18.7,...,92,0.4,74,...,...,0.0,...,...,...,...,...,...,2019-01-06 21:00:00
22,23,985.3,...,18.3,...,93,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-06 22:00:00
23,24,985.4,...,18.2,...,95,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-06 23:00:00
0,1,985.3,...,17.6,...,95,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-07 00:00:00
1,2,984.9,...,17.4,...,96,0.4,300,...,...,0.0,...,...,...,...,...,...,2019-01-07 01:00:00
2,3,984.5,...,17.6,...,96,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-07 02:00:00
3,4,984.5,...,17.5,...,96,0.5,37,...,...,0.0,...,...,...,...,...,...,2019-01-07 03:00:00
4,5,984.7,...,17.5,...,96,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-07 04:00:00
5,6,984.9,...,17.5,...,96,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-07 05:00:00
6,7,985.4,...,17.3,...,97,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-07 06:00:00
7,8,985.8,...,18.5,...,94,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-07 07:00:00
8,9,986.1,...,22.5,...,74,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-07 08:00:00
9,10,985.9,...,22.4,...,75,2.9,200,...,...,0.0,...,...,...,...,...,...,2019-01-07 09:00:00
10,11,985.2,...,24.9,...,66,2.7,193,...,...,0.0,...,...,...,...,...,...,2019-01-07 10:00:00
11,12,984.3,...,26.6,...,56,3.3,222,...,...,0.0,...,...,...,...,...,...,2019-01-07 11:00:00
12,13,983.2,...,26.7,...,58,3.5,230,...,...,0.0,...,...,...,...,...,...,2019-01-07 12:00:00
13,14,983.1,...,26.5,...,58,3.8,215,...,...,0.0,...,...,...,...,...,...,2019-01-07 13:00:00
14,15,983.2,...,25.5,...,62,3.0,211,...,...,0.0,...,...,...,...,...,...,2019-01-07 14:00:00
15,16,983.6,...,25.2,...,63,2.5,221,...,...,0.0,...,...,...,...,...,...,2019-01-07 15:00:00
16,17,984.0,...,24.5,...,68,1.2,202,...,...,0.0,...,...,...,...,...,...,2019-01-07 16:00:00
17,18,984.2,...,22.4,...,77,1.1,188,...,...,0.0,...,...,...,...,...,...,2019-01-07 17:00:00
18,19,984.5,...,20.7,...,83,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-07 18:00:00
19,20,985.3,...,20.1,...,87,0.9,175,...,...,0.0,...,...,...,...,...,...,2019-01-07 19:00:00
20,21,985.6,...,19.3,...,90,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-07 20:00:00
21,22,985.6,...,18.7,...,94,1.2,183,...,...,0.0,...,...,...,...,...,...,2019-01-07 21:00:00
22,23,985.6,...,18.8,...,95,0.6,149,...,...,0.0,...,...,...,...,...,...,2019-01-07 22:00:00
23,24,985.5,...,18.0,...,97,0.3,2,...,...,0.0,...,...,...,...,...,...,2019-01-07 23:00:00
0,1,985.6,...,18.0,...,94,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-08 00:00:00
1,2,985.5,...,18.0,...,95,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-08 01:00:00
2,3,985.4,...,18.0,...,95,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-08 02:00:00
